 frame 	 train 	 tail 	 loops 	 rate 
   1   	  107  	  16  	  60   	0.41530054644808745
   2   	  111  	  8   	  64   	0.39344262295081966
   3   	  116  	  5   	  62   	0.366120218579235
   4   	  105  	  3   	  75   	0.4262295081967213
   5   	  119  	  3   	  61   	0.34972677595628415
   6   	  100  	  11  	  72   	0.453551912568306
   7   	  109  	  5   	  69   	0.40437158469945356
   8   	  114  	  12  	  57   	0.3770491803278688
   9   	  117  	  2   	  64   	0.36065573770491804
  10   	  108  	  10  	  65   	0.4098360655737705
  11   	  108  	  3   	  72   	0.4098360655737705
  12   	  113  	  4   	  66   	0.3825136612021858
  13   	  98   	  3   	  82   	0.4644808743169399
  14   	  103  	  5   	  75   	0.4371584699453552
  15   	  102  	  4   	  77   	0.4426229508196721
  16   	  120  	  11  	  52   	0.3442622950819672
  17   	  108  	  12  	  63   	0.4098360655737705
  18   	  90   	  16  	  77   	0.5081967213114754
  19   	  119  	  6   	  58   	0.34972677595628415
  20   	  111  	  3   	  69   	0.39344262295081966
  21   	  121  	  6   	  56   	0.33879781420765026
  22   	  100  	  8   	  75   	0.453551912568306
  23   	  114  	  5   	  64   	0.3770491803278688
  24   	  116  	  3   	  64   	0.366120218579235
  25   	  118  	  9   	  56   	0.3551912568306011
  26   	  105  	  6   	  72   	0.4262295081967213
  27   	  114  	  4   	  65   	0.3770491803278688
  28   	  118  	  8   	  57   	0.3551912568306011
  29   	  117  	  10  	  56   	0.36065573770491804
  30   	  106  	  2   	  75   	0.4207650273224044
  31   	  115  	  8   	  60   	0.37158469945355194
  32   	  112  	  2   	  69   	0.3879781420765027
  33   	  104  	  5   	  74   	0.43169398907103823
  34   	  116  	  6   	  61   	0.366120218579235
  35   	  112  	  9   	  62   	0.3879781420765027
  36   	  100  	  14  	  69   	0.453551912568306
  37   	  94   	  6   	  83   	0.48633879781420764
  38   	  112  	  6   	  65   	0.3879781420765027
  39   	  120  	  9   	  54   	0.3442622950819672
  40   	  109  	  0   	  74   	0.40437158469945356
  41   	  114  	  1   	  68   	0.3770491803278688
  42   	  116  	  1   	  66   	0.366120218579235
  43   	  110  	  5   	  68   	0.3989071038251366
  44   	  115  	  5   	  63   	0.37158469945355194
  45   	  109  	  10  	  64   	0.40437158469945356
  46   	  95   	  9   	  79   	0.4808743169398907
  47   	  108  	  9   	  66   	0.4098360655737705
  48   	  114  	  6   	  63   	0.3770491803278688
  49   	  116  	  5   	  62   	0.366120218579235
