 frame 	 train 	 tail 	 loops 
   1   	  183  	  0   	   0   
   2   	  183  	  0   	   0   
   3   	  183  	  0   	   0   
   4   	  183  	  0   	   0   
   5   	  183  	  0   	   0   
   6   	  183  	  0   	   0   
   7   	  183  	  0   	   0   
   8   	  183  	  0   	   0   
   9   	  183  	  0   	   0   
  10   	  183  	  0   	   0   
  11   	  182  	  0   	   1   
  12   	  183  	  0   	   0   
  13   	  183  	  0   	   0   
  14   	  183  	  0   	   0   
  15   	  183  	  0   	   0   
  16   	  183  	  0   	   0   
  17   	  181  	  2   	   0   
  18   	  183  	  0   	   0   
  19   	  183  	  0   	   0   
  20   	  183  	  0   	   0   
  21   	  183  	  0   	   0   
  22   	  182  	  0   	   1   
  23   	  182  	  0   	   1   
  24   	  183  	  0   	   0   
  25   	  183  	  0   	   0   
  26   	  183  	  0   	   0   
  27   	  183  	  0   	   0   
  28   	  182  	  1   	   0   
  29   	  183  	  0   	   0   
  30   	  183  	  0   	   0   
  31   	  183  	  0   	   0   
  32   	  183  	  0   	   0   
  33   	  183  	  0   	   0   
  34   	  183  	  0   	   0   
  35   	  183  	  0   	   0   
  36   	  183  	  0   	   0   
  37   	  183  	  0   	   0   
  38   	  183  	  0   	   0   
  39   	  183  	  0   	   0   
  40   	  183  	  0   	   0   
  41   	  183  	  0   	   0   
  42   	  182  	  0   	   1   
  43   	  183  	  0   	   0   
  44   	  182  	  0   	   1   
  45   	  183  	  0   	   0   
  46   	  181  	  0   	   2   
  47   	  183  	  0   	   0   
  48   	  183  	  0   	   0   
  49   	  183  	  0   	   0   
  50   	  183  	  0   	   0   
  51   	  182  	  0   	   1   
  52   	  182  	  0   	   1   
  53   	  182  	  0   	   1   
  54   	  183  	  0   	   0   
  55   	  183  	  0   	   0   
  56   	  183  	  0   	   0   
  57   	  183  	  0   	   0   
  58   	  183  	  0   	   0   
  59   	  183  	  0   	   0   
  60   	  182  	  0   	   1   
  61   	  183  	  0   	   0   
  62   	  183  	  0   	   0   
  63   	  183  	  0   	   0   
  64   	  183  	  0   	   0   
  65   	  183  	  0   	   0   
  66   	  181  	  0   	   2   
  67   	  183  	  0   	   0   
  68   	  183  	  0   	   0   
  69   	  183  	  0   	   0   
  70   	  183  	  0   	   0   
  71   	  183  	  0   	   0   
  72   	  183  	  0   	   0   
  73   	  183  	  0   	   0   
  74   	  183  	  0   	   0   
  75   	  183  	  0   	   0   
  76   	  182  	  1   	   0   
  77   	  183  	  0   	   0   
  78   	  183  	  0   	   0   
  79   	  183  	  0   	   0   
  80   	  183  	  0   	   0   
  81   	  183  	  0   	   0   
  82   	  183  	  0   	   0   
  83   	  183  	  0   	   0   
  84   	  181  	  0   	   2   
  85   	  182  	  1   	   0   
  86   	  183  	  0   	   0   
  87   	  183  	  0   	   0   
  88   	  183  	  0   	   0   
  89   	  183  	  0   	   0   
  90   	  183  	  0   	   0   
  91   	  183  	  0   	   0   
  92   	  183  	  0   	   0   
  93   	  183  	  0   	   0   
  94   	  183  	  0   	   0   
  95   	  182  	  0   	   1   
  96   	  182  	  0   	   1   
  97   	  182  	  0   	   1   
  98   	  183  	  0   	   0   
  99   	  182  	  1   	   0   
  100  	  183  	  0   	   0   
  101  	  183  	  0   	   0   
  102  	  183  	  0   	   0   
  103  	  181  	  0   	   2   
  104  	  182  	  0   	   1   
  105  	  183  	  0   	   0   
  106  	  180  	  0   	   3   
  107  	  182  	  0   	   1   
  108  	  183  	  0   	   0   
  109  	  183  	  0   	   0   
  110  	  183  	  0   	   0   
  111  	  182  	  0   	   1   
  112  	  182  	  0   	   1   
  113  	  183  	  0   	   0   
  114  	  179  	  0   	   4   
  115  	  183  	  0   	   0   
  116  	  183  	  0   	   0   
  117  	  182  	  0   	   1   
  118  	  182  	  0   	   1   
  119  	  181  	  1   	   1   
  120  	  183  	  0   	   0   
  121  	  183  	  0   	   0   
  122  	  178  	  0   	   5   
  123  	  183  	  0   	   0   
  124  	  182  	  0   	   1   
  125  	  181  	  0   	   2   
  126  	  181  	  0   	   2   
  127  	  182  	  0   	   1   
  128  	  183  	  0   	   0   
  129  	  180  	  1   	   2   
  130  	  181  	  0   	   2   
  131  	  180  	  0   	   3   
  132  	  181  	  0   	   2   
  133  	  174  	  0   	   9   
  134  	  183  	  0   	   0   
  135  	  182  	  0   	   1   
  136  	  183  	  0   	   0   
  137  	  178  	  0   	   5   
  138  	  183  	  0   	   0   
  139  	  181  	  0   	   2   
  140  	  183  	  0   	   0   
  141  	  183  	  0   	   0   
  142  	  180  	  0   	   3   
  143  	  180  	  0   	   3   
  144  	  183  	  0   	   0   
  145  	  183  	  0   	   0   
  146  	  182  	  0   	   1   
  147  	  183  	  0   	   0   
  148  	  183  	  0   	   0   
  149  	  183  	  0   	   0   
  150  	  183  	  0   	   0   
  151  	  183  	  0   	   0   
  152  	  183  	  0   	   0   
  153  	  183  	  0   	   0   
  154  	  183  	  0   	   0   
  155  	  183  	  0   	   0   
  156  	  182  	  0   	   1   
  157  	  183  	  0   	   0   
  158  	  183  	  0   	   0   
  159  	  183  	  0   	   0   
  160  	  180  	  0   	   3   
  161  	  182  	  1   	   0   
  162  	  183  	  0   	   0   
  163  	  182  	  0   	   1   
  164  	  182  	  1   	   0   
  165  	  183  	  0   	   0   
  166  	  183  	  0   	   0   
  167  	  181  	  0   	   2   
  168  	  183  	  0   	   0   
  169  	  183  	  0   	   0   
  170  	  183  	  0   	   0   
  171  	  183  	  0   	   0   
  172  	  183  	  0   	   0   
  173  	  183  	  0   	   0   
  174  	  181  	  0   	   2   
  175  	  180  	  0   	   3   
  176  	  180  	  0   	   3   
  177  	  179  	  0   	   4   
  178  	  177  	  0   	   6   
  179  	  183  	  0   	   0   
  180  	  183  	  0   	   0   
  181  	  182  	  0   	   1   
  182  	  183  	  0   	   0   
  183  	  182  	  0   	   1   
  184  	  183  	  0   	   0   
  185  	  183  	  0   	   0   
  186  	  183  	  0   	   0   
  187  	  183  	  0   	   0   
  188  	  183  	  0   	   0   
  189  	  183  	  0   	   0   
  190  	  183  	  0   	   0   
  191  	  182  	  0   	   1   
  192  	  181  	  0   	   2   
  193  	  183  	  0   	   0   
  194  	  177  	  0   	   6   
  195  	  183  	  0   	   0   
  196  	  180  	  0   	   3   
  197  	  183  	  0   	   0   
  198  	  183  	  0   	   0   
  199  	  182  	  1   	   0   
  200  	  175  	  4   	   4   
  201  	  180  	  0   	   3   
  202  	  182  	  0   	   1   
  203  	  178  	  0   	   5   
  204  	  181  	  1   	   1   
  205  	  175  	  5   	   3   
  206  	  183  	  0   	   0   
  207  	  182  	  0   	   1   
  208  	  183  	  0   	   0   
  209  	  180  	  0   	   3   
  210  	  183  	  0   	   0   
  211  	  181  	  1   	   1   
  212  	  183  	  0   	   0   
  213  	  181  	  0   	   2   
  214  	  183  	  0   	   0   
  215  	  183  	  0   	   0   
  216  	  181  	  0   	   2   
  217  	  182  	  0   	   1   
  218  	  182  	  0   	   1   
  219  	  183  	  0   	   0   
  220  	  182  	  0   	   1   
  221  	  182  	  0   	   1   
  222  	  182  	  0   	   1   
  223  	  181  	  0   	   2   
  224  	  182  	  0   	   1   
  225  	  181  	  0   	   2   
  226  	  182  	  0   	   1   
  227  	  182  	  0   	   1   
  228  	  182  	  0   	   1   
  229  	  183  	  0   	   0   
  230  	  181  	  2   	   0   
  231  	  183  	  0   	   0   
  232  	  183  	  0   	   0   
  233  	  183  	  0   	   0   
  234  	  180  	  0   	   3   
  235  	  182  	  0   	   1   
  236  	  182  	  0   	   1   
  237  	  183  	  0   	   0   
  238  	  182  	  0   	   1   
  239  	  183  	  0   	   0   
  240  	  182  	  1   	   0   
  241  	  182  	  1   	   0   
  242  	  182  	  0   	   1   
  243  	  182  	  1   	   0   
  244  	  182  	  0   	   1   
  245  	  183  	  0   	   0   
  246  	  179  	  2   	   2   
  247  	  181  	  1   	   1   
  248  	  183  	  0   	   0   
  249  	  183  	  0   	   0   
  250  	  183  	  0   	   0   
  251  	  182  	  1   	   0   
  252  	  182  	  0   	   1   
  253  	  183  	  0   	   0   
  254  	  183  	  0   	   0   
  255  	  181  	  0   	   2   
  256  	  182  	  0   	   1   
  257  	  181  	  0   	   2   
  258  	  181  	  0   	   2   
  259  	  179  	  0   	   4   
  260  	  181  	  0   	   2   
  261  	  181  	  0   	   2   
  262  	  181  	  0   	   2   
  263  	  182  	  0   	   1   
  264  	  179  	  0   	   4   
  265  	  182  	  0   	   1   
  266  	  182  	  0   	   1   
  267  	  175  	  3   	   5   
  268  	  175  	  0   	   8   
  269  	  183  	  0   	   0   
  270  	  181  	  0   	   2   
  271  	  182  	  0   	   1   
  272  	  180  	  1   	   2   
  273  	  182  	  0   	   1   
  274  	  183  	  0   	   0   
  275  	  181  	  1   	   1   
  276  	  181  	  1   	   1   
  277  	  180  	  0   	   3   
  278  	  182  	  0   	   1   
  279  	  180  	  1   	   2   
  280  	  182  	  0   	   1   
  281  	  183  	  0   	   0   
  282  	  183  	  0   	   0   
  283  	  183  	  0   	   0   
  284  	  183  	  0   	   0   
  285  	  183  	  0   	   0   
  286  	  183  	  0   	   0   
  287  	  183  	  0   	   0   
  288  	  181  	  2   	   0   
  289  	  183  	  0   	   0   
  290  	  182  	  1   	   0   
  291  	  183  	  0   	   0   
  292  	  183  	  0   	   0   
  293  	  183  	  0   	   0   
  294  	  183  	  0   	   0   
  295  	  182  	  1   	   0   
  296  	  183  	  0   	   0   
  297  	  183  	  0   	   0   
  298  	  183  	  0   	   0   
  299  	  181  	  0   	   2   
  300  	  183  	  0   	   0   
  301  	  183  	  0   	   0   
  302  	  183  	  0   	   0   
  303  	  183  	  0   	   0   
  304  	  183  	  0   	   0   
  305  	  183  	  0   	   0   
  306  	  183  	  0   	   0   
  307  	  181  	  0   	   2   
  308  	  183  	  0   	   0   
  309  	  182  	  1   	   0   
  310  	  181  	  1   	   1   
  311  	  183  	  0   	   0   
  312  	  181  	  0   	   2   
  313  	  183  	  0   	   0   
  314  	  183  	  0   	   0   
  315  	  183  	  0   	   0   
  316  	  183  	  0   	   0   
  317  	  182  	  1   	   0   
  318  	  183  	  0   	   0   
  319  	  181  	  2   	   0   
  320  	  183  	  0   	   0   
  321  	  178  	  0   	   5   
  322  	  183  	  0   	   0   
  323  	  183  	  0   	   0   
  324  	  183  	  0   	   0   
  325  	  183  	  0   	   0   
  326  	  182  	  0   	   1   
  327  	  183  	  0   	   0   
  328  	  183  	  0   	   0   
  329  	  183  	  0   	   0   
  330  	  183  	  0   	   0   
  331  	  183  	  0   	   0   
  332  	  183  	  0   	   0   
  333  	  183  	  0   	   0   
  334  	  182  	  1   	   0   
  335  	  183  	  0   	   0   
  336  	  183  	  0   	   0   
  337  	  183  	  0   	   0   
  338  	  183  	  0   	   0   
  339  	  183  	  0   	   0   
  340  	  183  	  0   	   0   
  341  	  183  	  0   	   0   
  342  	  183  	  0   	   0   
  343  	  183  	  0   	   0   
  344  	  183  	  0   	   0   
  345  	  182  	  0   	   1   
  346  	  183  	  0   	   0   
  347  	  183  	  0   	   0   
  348  	  183  	  0   	   0   
  349  	  183  	  0   	   0   
  350  	  183  	  0   	   0   
  351  	  183  	  0   	   0   
  352  	  183  	  0   	   0   
  353  	  183  	  0   	   0   
  354  	  183  	  0   	   0   
  355  	  183  	  0   	   0   
  356  	  183  	  0   	   0   
  357  	  183  	  0   	   0   
  358  	  183  	  0   	   0   
  359  	  183  	  0   	   0   
  360  	  183  	  0   	   0   
  361  	  183  	  0   	   0   
  362  	  183  	  0   	   0   
  363  	  183  	  0   	   0   
  364  	  182  	  0   	   1   
  365  	  183  	  0   	   0   
  366  	  183  	  0   	   0   
  367  	  183  	  0   	   0   
  368  	  183  	  0   	   0   
  369  	  183  	  0   	   0   
  370  	  183  	  0   	   0   
  371  	  179  	  0   	   4   
  372  	  183  	  0   	   0   
  373  	  183  	  0   	   0   
  374  	  183  	  0   	   0   
  375  	  183  	  0   	   0   
  376  	  182  	  1   	   0   
  377  	  183  	  0   	   0   
  378  	  183  	  0   	   0   
  379  	  183  	  0   	   0   
  380  	  183  	  0   	   0   
  381  	  183  	  0   	   0   
  382  	  183  	  0   	   0   
  383  	  183  	  0   	   0   
  384  	  183  	  0   	   0   
  385  	  183  	  0   	   0   
  386  	  182  	  1   	   0   
  387  	  183  	  0   	   0   
  388  	  183  	  0   	   0   
  389  	  182  	  0   	   1   
  390  	  183  	  0   	   0   
  391  	  183  	  0   	   0   
  392  	  183  	  0   	   0   
  393  	  183  	  0   	   0   
  394  	  183  	  0   	   0   
  395  	  183  	  0   	   0   
  396  	  183  	  0   	   0   
  397  	  183  	  0   	   0   
  398  	  183  	  0   	   0   
  399  	  183  	  0   	   0   
  400  	  183  	  0   	   0   
  401  	  183  	  0   	   0   
  402  	  183  	  0   	   0   
  403  	  183  	  0   	   0   
  404  	  183  	  0   	   0   
  405  	  183  	  0   	   0   
  406  	  183  	  0   	   0   
  407  	  183  	  0   	   0   
  408  	  183  	  0   	   0   
  409  	  183  	  0   	   0   
  410  	  183  	  0   	   0   
  411  	  183  	  0   	   0   
  412  	  183  	  0   	   0   
  413  	  183  	  0   	   0   
  414  	  178  	  0   	   5   
  415  	  182  	  0   	   1   
  416  	  183  	  0   	   0   
  417  	  180  	  0   	   3   
  418  	  183  	  0   	   0   
  419  	  181  	  0   	   2   
  420  	  182  	  0   	   1   
  421  	  183  	  0   	   0   
  422  	  183  	  0   	   0   
  423  	  183  	  0   	   0   
  424  	  183  	  0   	   0   
  425  	  183  	  0   	   0   
  426  	  183  	  0   	   0   
  427  	  181  	  0   	   2   
  428  	  183  	  0   	   0   
  429  	  183  	  0   	   0   
  430  	  183  	  0   	   0   
  431  	  183  	  0   	   0   
  432  	  183  	  0   	   0   
  433  	  182  	  0   	   1   
  434  	  182  	  0   	   1   
  435  	  183  	  0   	   0   
  436  	  180  	  0   	   3   
  437  	  182  	  1   	   0   
  438  	  180  	  0   	   3   
  439  	  179  	  1   	   3   
  440  	  176  	  1   	   6   
  441  	  180  	  0   	   3   
  442  	  181  	  0   	   2   
  443  	  181  	  0   	   2   
  444  	  183  	  0   	   0   
  445  	  182  	  0   	   1   
  446  	  183  	  0   	   0   
  447  	  183  	  0   	   0   
  448  	  181  	  0   	   2   
  449  	  183  	  0   	   0   
  450  	  183  	  0   	   0   
  451  	  183  	  0   	   0   
  452  	  183  	  0   	   0   
  453  	  183  	  0   	   0   
  454  	  183  	  0   	   0   
  455  	  183  	  0   	   0   
  456  	  183  	  0   	   0   
  457  	  183  	  0   	   0   
  458  	  183  	  0   	   0   
  459  	  183  	  0   	   0   
  460  	  183  	  0   	   0   
  461  	  183  	  0   	   0   
  462  	  183  	  0   	   0   
  463  	  183  	  0   	   0   
  464  	  183  	  0   	   0   
  465  	  183  	  0   	   0   
  466  	  183  	  0   	   0   
  467  	  182  	  1   	   0   
  468  	  183  	  0   	   0   
  469  	  183  	  0   	   0   
  470  	  183  	  0   	   0   
  471  	  183  	  0   	   0   
  472  	  183  	  0   	   0   
  473  	  183  	  0   	   0   
  474  	  183  	  0   	   0   
  475  	  183  	  0   	   0   
  476  	  183  	  0   	   0   
  477  	  183  	  0   	   0   
  478  	  182  	  0   	   1   
  479  	  183  	  0   	   0   
  480  	  183  	  0   	   0   
  481  	  182  	  0   	   1   
  482  	  181  	  1   	   1   
  483  	  183  	  0   	   0   
  484  	  180  	  0   	   3   
  485  	  183  	  0   	   0   
  486  	  183  	  0   	   0   
  487  	  182  	  0   	   1   
  488  	  182  	  0   	   1   
  489  	  183  	  0   	   0   
  490  	  183  	  0   	   0   
  491  	  183  	  0   	   0   
  492  	  182  	  0   	   1   
  493  	  180  	  2   	   1   
  494  	  183  	  0   	   0   
